Home,Away,Date,Popular,Stadium,Capacity,Tweets,Attendance
ManUnited,Newcastle,8/22,31,old trafford,75731,121,75354
CrystalPalace,AstonVilla,8/22,16,selhurst park,26255,25,25295
LeicesterCity,Tottenham,8/22,17,king power stadium,32500,32,31971
NorwichCity,StokeCity,8/22,16,carrow road,27244,18,26771
Sunderland,SwanseaCity,8/22,16,stadium of light,49000,13,39198
WestHam,Bournemouth,8/22,9,boleyn ground,35016,39,34977
WestBrom,Chelsea,8/23,23,the hawthorns,26445,31,23256
Everton,ManCity,8/23,38,goodison park,40157,41,38523
Watford,Southampton,8/23,16,vicarage road,22100,21,20166
Arsenal,Liverpool,8/24,38,emirates stadium,60362,153,60080
Newcastle,Arsenal,8/29,30,st james' park,52409,71,50388
Bournemouth,LeicesterCity,8/29,3,vitality stadium,10700,18,11155
AstonVilla,Sunderland,8/29,13,villa park,42788,31,35399
Chelsea,CrystalPalace,8/29,28,stamford bridge,41837,97,41581
Liverpool,WestHam,8/29,27,anfield,45276,60,43680
ManCity,Watford,8/29,25,etihad stadium,60000,47,53218
StokeCity,WestBrom,8/29,17,britannia stadium,27740,21,26747
Tottenham,Everton,8/29,31,white hart lane,36240,48,35865
Southampton,NorwichCity,8/30,17,st. mary's stadium,32689,26,29573
SwanseaCity,ManUnited,8/30,29,liberty stadium,20750,22,20828
Everton,Chelsea,9/12,34,goodison park,40157,44,38311
Arsenal,StokeCity,9/12,31,emirates stadium,60362,132,59963
CrystalPalace,ManCity,9/12,32,selhurst park,26255,40,25167
NorwichCity,Bournemouth,9/12,5,carrow road,27244,17,27018
Watford,SwanseaCity,9/12,12,vicarage road,22100,19,20057
WestBrom,Southampton,9/12,18,the hawthorns,26445,31,24265
ManUnited,Liverpool,9/12,39,old trafford,75731,169,75347
Sunderland,Tottenham,9/13,22,stadium of light,49000,40,40303
LeicesterCity,AstonVilla,9/13,8,king power stadium,32500,35,31733
WestHam,Newcastle,9/14,19,boleyn ground,35016,51,34907
Chelsea,Arsenal,9/19,37,stamford bridge,41837,171,41584
Bournemouth,Sunderland,9/19,8,vitality stadium,10700,8,11271
AstonVilla,WestBrom,9/19,11,villa park,42788,42,36321
Newcastle,Watford,9/19,14,st james' park,52409,70,47806
StokeCity,LeicesterCity,9/19,14,britannia stadium,27740,21,27642
SwanseaCity,Everton,9/19,25,liberty stadium,20750,17,20805
ManCity,WestHam,9/19,30,etihad stadium,60000,59,53545
Tottenham,CrystalPalace,9/20,25,white hart lane,36240,66,35723
Liverpool,NorwichCity,9/20,23,anfield,45276,51,44072
Southampton,ManUnited,9/20,33,st. mary's stadium,32689,49,31588
Tottenham,ManCity,9/26,37,white hart lane,36240,75,35867
LeicesterCity,Arsenal,9/26,21,king power stadium,32500,51,32047
Liverpool,AstonVilla,9/26,25,anfield,45276,39,44228
ManUnited,Sunderland,9/26,27,old trafford,75731,138,70000
Southampton,SwanseaCity,9/26,22,st. mary's stadium,32689,27,30704
StokeCity,Bournemouth,9/26,13,britannia stadium,27740,11,27742
WestHam,NorwichCity,9/26,12,boleyn ground,35016,32,34857
Newcastle,Chelsea,9/26,29,st james' park,52409,77,48682
Watford,CrystalPalace,9/27,13,vicarage road,22100,19,20168
WestBrom,Everton,9/28,21,the hawthorns,26445,39,24240
CrystalPalace,WestBrom,10/03,15,selhurst park,26255,34,24033
Bournemouth,Watford,10/03,4,vitality stadium,10700,6,10187
AstonVilla,StokeCity,10/03,18,villa park,42788,31,33189
ManCity,Newcastle,10/03,33,etihad stadium,60000,68,53850
NorwichCity,LeicesterCity,10/03,6,carrow road,27244,30,27067
Sunderland,WestHam,10/03,15,stadium of light,49000,24,42932
Chelsea,Southampton,10/03,31,stamford bridge,41837,81,41642
Everton,Liverpool,10/04,35,goodison park,40157,51,39598
Arsenal,ManUnited,10/04,39,emirates stadium,60362,280,60084
SwanseaCity,Tottenham,10/04,24,liberty stadium,20750,18,20645
