Home,Away,Date,Stadium,Attendance,Capacity,Poplar,Final,Tweets
WestsTigers,NewcastleKnights,8/15,CampbelltownStadium,10963,20000,33,0,2
PenrithPanthers,NewZealandWarriors,8/15,PepperStadium,6774,22500,39,0,0
SydneyRoosters,ParramattaEels,8/15,AllianzStadium,11255,45500,45,0,14
CanberraRaiders,ManlyWarringahSeaEagles,8/16,GIOStadium,13113,25011,58,0,0
CanterburyBankstownBulldogs,GoldCoastTitans,8/16,CentralCoastStadium,11021,20059,54,0,1
CronullaSutherlandSharks,MelbourneStorm,8/17,RemondisStadium,10269,22000,64,0,5
StGeorgeIllawarraDragons,PenrithPanthers,8/20,WINStadium,9145,23000,39,0,2
SouthSydneyRabbitohs,CanterburyBankstownBulldogs,8/21,ANZStadium,26503,83500,82,0,5
CronullaSutherlandSharks,WestsTigers,8/22,RemondisStadium,15738,22000,36,0,2
NewZealandWarriors,NorthQueenslandCowboys,8/22,MtSmartStadium,14412,30000,50,0,0
SydneyRoosters,BrisbaneBroncos,8/22,AllianzStadium,19137,45500,59,0,28
GoldCoastTitans,CanberraRaiders,8/23,CbusSuperStadium,8762,27400,34,0,9
ManlyWarringahSeaEagles,ParramattaEels,8/23,BrookvaleOval,11018,23000,50,0,8
MelbourneStorm,NewcastleKnights,8/24,AAMIPark,8743,30050,61,0,8
SouthSydneyRabbitohs,BrisbaneBroncos,8/27,AllianzStadium,12036,45500,68,0,35
ManlyWarringahSeaEagles,SydneyRoosters,8/28,BrookvaleOval,12911,23000,77,0,19
ParramattaEels,CronullaSutherlandSharks,8/28,PirtekStadium,11778,20700,32,0,2
NewcastleKnights,CanterburyBankstownBulldogs,8/29,HunterStadium,23604,33000,57,0,8
MelbourneStorm,NorthQueenslandCowboys,8/29,AAMIPark,15214,30050,74,0,37
WestsTigers,NewZealandWarriors,8/30,CampbelltownStadium,6711,20000,30,0,10
GoldCoastTitans,StGeorgeIllawarraDragons,8/30,CbusSuperStadium,12335,27400,34,0,8
CanberraRaiders,PenrithPanthers,8/31,GIOStadium,6717,25011,39,0,1
BrisbaneBroncos,MelbourneStorm,9/3,SuncorpStadium,44015,52500,64,0,33
SydneyRoosters,SouthSydneyRabbitohs,9/4,AllianzStadium,25019,45500,81,0,38
PenrithPanthers,NewcastleKnights,9/5,PepperStadium,8936,22500,42,0,8
StGeorgeIllawarraDragons,WestsTigers,9/5,ANZStadium,17685,83500,30,0,19
NorthQueenslandCowboys,GoldCoastTitans,9/5,1300SMILESStadium,16977,26500,50,0,5
ParramattaEels,CanberraRaiders,9/6,PirtekStadium,10515,20700,26,0,8
CronullaSutherlandSharks,ManlyWarringahSeaEagles,9/6,RemondisStadium,19146,22000,64,0,11
CanterburyBankstownBulldogs,NewZealandWarriors,9/6,ANZStadium,14821,83500,54,0,19
SydneyRoosters,MelbourneStorm,9/11,AllianzStadium,20521,45500,77,1,37
BrisbaneBroncos,NorthQueenslandCowboys,9/12,SuncorpStadium,50388,52500,56,1,40
CanterburyBankstownBulldogs,StGeorgeIllawarraDragons,9/12,ANZStadium,33854,83500,54,2,39
CronullaSutherlandSharks,SouthSydneyRabbitohs,9/13,AllianzStadium,27031,45500,68,2,52
SydneyRoosters,CanterburyBankstownBulldogs,9/18,AllianzStadium,35711,45500,73,3,49
NorthQueenslandCowboys,CronullaSutherlandSharks,9/19,1300SMILESStadium,,26500,56,3,5
